row	angle	predicted_obs	measured_obs	error	dchi
253	130.000	0.52246E-01	0.51000E-01	0.40000E-02	0.738E+00
254	150.000	0.54655E-01	0.55000E-01	0.50000E-02	0.288E+00
255	170.000	0.55787E-01	0.52000E-01	0.80000E-02	0.701E+00
256	10.000	0.29978E-01	0.35000E-01	0.50000E-02	-0.459E+00
257	30.000	0.32216E-01	0.35000E-01	0.40000E-02	0.362E-01
258	50.000	0.36164E-01	0.46000E-01	0.40000E-02	-0.164E+01
259	70.000	0.41079E-01	0.46000E-01	0.30000E-02	-0.396E+00
260	90.000	0.46256E-01	0.50000E-01	0.40000E-02	0.115E+00
261	110.000	0.51050E-01	0.52000E-01	0.40000E-02	0.923E+00
262	130.000	0.54870E-01	0.66000E-01	0.40000E-02	-0.154E+01
263	150.000	0.57362E-01	0.65000E-01	0.50000E-02	-0.485E+00
264	170.000	0.58527E-01	0.64000E-01	0.70000E-02	-0.217E-01
265	5.000	0.32096E-01	0.34000E-01	0.13000E-01	-0.320E-02
266	15.000	0.32726E-01	0.32000E-01	0.80000E-02	0.328E+00
267	25.000	0.33944E-01	0.24000E-01	0.70000E-02	0.170E+01
268	35.000	0.35673E-01	0.37000E-01	0.70000E-02	0.106E+00
269	45.000	0.37812E-01	0.46000E-01	0.70000E-02	-0.856E+00
270	55.000	0.40256E-01	0.58000E-01	0.80000E-02	-0.193E+01
271	65.000	0.42903E-01	0.49000E-01	0.70000E-02	-0.515E+00
272	75.000	0.45657E-01	0.45000E-01	0.70000E-02	0.472E+00
273	85.000	0.48430E-01	0.60000E-01	0.70000E-02	-0.125E+01
274	95.000	0.51136E-01	0.63000E-01	0.70000E-02	-0.127E+01
275	105.000	0.53691E-01	0.63000E-01	0.70000E-02	-0.885E+00
276	115.000	0.56015E-01	0.59000E-01	0.80000E-02	0.333E-01
277	125.000	0.58038E-01	0.71000E-01	0.80000E-02	-0.120E+01
278	135.000	0.59713E-01	0.72000E-01	0.80000E-02	-0.110E+01
279	145.000	0.61020E-01	0.68000E-01	0.80000E-02	-0.430E+00
280	155.000	0.61963E-01	0.82000E-01	0.80000E-02	-0.206E+01
281	165.000	0.62566E-01	0.63000E-01	0.90000E-02	0.355E+00
282	175.000	0.62859E-01	0.73000E-01	0.14000E-01	-0.464E+00
283	10.000	0.35101E-01	0.29000E-01	0.70000E-02	0.921E+00
284	30.000	0.37731E-01	0.41000E-01	0.40000E-02	-0.724E+00
285	50.000	0.42344E-01	0.46000E-01	0.40000E-02	-0.809E+00
286	70.000	0.48034E-01	0.58000E-01	0.40000E-02	-0.237E+01
287	90.000	0.53966E-01	0.56000E-01	0.50000E-02	-0.300E+00
288	110.000	0.59399E-01	0.56000E-01	0.50000E-02	0.798E+00
289	130.000	0.63678E-01	0.54000E-01	0.50000E-02	0.206E+01
290	150.000	0.66430E-01	0.65000E-01	0.50000E-02	0.418E+00
291	170.000	0.67698E-01	0.75000E-01	0.17000E-01	-0.390E+00
292	10.000	0.39877E-01	0.45000E-01	0.60000E-02	-0.550E-01
293	30.000	0.42885E-01	0.43000E-01	0.40000E-02	0.126E+01
294	50.000	0.48133E-01	0.52000E-01	0.40000E-02	0.480E+00
295	70.000	0.54556E-01	0.61000E-01	0.40000E-02	0.286E-01
296	90.000	0.61189E-01	0.82000E-01	0.50000E-02	-0.269E+01
297	110.000	0.67206E-01	0.79000E-01	0.50000E-02	-0.743E+00
298	130.000	0.71894E-01	0.81000E-01	0.50000E-02	-0.927E-01
299	150.000	0.74868E-01	0.92000E-01	0.60000E-02	-0.136E+01
300	170.000	0.76219E-01	0.92000E-01	0.90000E-02	-0.735E+00
301	10.000	0.42275E-01	0.32000E-01	0.10000E-01	0.991E+00
302	30.000	0.45477E-01	0.50000E-01	0.50000E-02	-0.984E+00
303	50.000	0.51049E-01	0.58000E-01	0.40000E-02	-0.185E+01
304	70.000	0.57844E-01	0.63000E-01	0.50000E-02	-0.113E+01
305	90.000	0.64829E-01	0.68000E-01	0.50000E-02	-0.748E+00
306	110.000	0.71134E-01	0.59000E-01	0.50000E-02	0.230E+01
307	130.000	0.76022E-01	0.76000E-01	0.60000E-02	-0.107E+00
308	150.000	0.79103E-01	0.75000E-01	0.60000E-02	0.569E+00
309	170.000	0.80492E-01	0.65000E-01	0.90000E-02	0.164E+01
310	8.440	0.45163E-01	0.70000E-02	0.80000E-02	0.526E+01
311	24.500	0.47491E-01	0.55000E-01	0.10000E-01	-0.341E+00
312	40.500	0.51649E-01	0.74000E-01	0.90000E-02	-0.199E+01
313	56.500	0.57010E-01	0.93000E-01	0.80000E-02	-0.388E+01
314	72.500	0.62936E-01	0.84000E-01	0.70000E-02	-0.223E+01
315	88.500	0.68882E-01	0.95000E-01	0.80000E-02	-0.252E+01
316	104.500	0.74381E-01	0.73000E-01	0.70000E-02	0.111E+01
317	120.500	0.79012E-01	0.73000E-01	0.80000E-02	0.160E+01
318	136.500	0.82477E-01	0.77000E-01	0.11000E-01	0.114E+01
319	152.500	0.84695E-01	0.86000E-01	0.15000E-01	0.400E+00
320	168.500	0.85805E-01	0.10500E+00	0.32000E-01	-0.369E+00
321	18.190	0.49513E-01	0.50300E-01	0.41000E-02	0.814E+00
322	31.790	0.52596E-01	0.54700E-01	0.38000E-02	0.599E+00
323	41.410	0.55530E-01	0.63800E-01	0.38000E-02	-0.960E+00
324	49.460	0.58333E-01	0.58200E-01	0.45000E-02	0.111E+01
325	56.630	0.61019E-01	0.59100E-01	0.46000E-02	0.152E+01
326	63.260	0.63604E-01	0.70000E-01	0.42000E-02	-0.262E+00
327	69.510	0.66090E-01	0.71500E-01	0.46000E-02	0.202E-01
328	75.520	0.68494E-01	0.75100E-01	0.45000E-02	-0.201E+00
329	81.370	0.70819E-01	0.83500E-01	0.45000E-02	-0.151E+01
330	87.130	0.73071E-01	0.85800E-01	0.40000E-02	-0.166E+01
331	92.870	0.75254E-01	0.83100E-01	0.43000E-02	-0.367E+00
332	98.630	0.77363E-01	0.86600E-01	0.40000E-02	-0.699E+00
333	104.480	0.79399E-01	0.80800E-01	0.36000E-02	0.145E+01
334	110.490	0.81358E-01	0.99400E-01	0.35000E-02	-0.322E+01
335	116.740	0.83232E-01	0.91400E-01	0.34000E-02	-0.364E+00
336	123.370	0.85018E-01	0.88800E-01	0.36000E-02	0.916E+00
337	130.540	0.86698E-01	0.93600E-01	0.34000E-02	0.933E-01
338	138.590	0.88263E-01	0.93900E-01	0.34000E-02	0.504E+00
339	148.210	0.89696E-01	0.97100E-01	0.36000E-02	0.179E-01
340	161.810	0.90979E-01	0.98000E-01	0.34000E-02	0.163E+00
341	10.000	0.50041E-01	0.42000E-01	0.10000E-01	0.459E+00
342	30.000	0.53887E-01	0.41000E-01	0.50000E-02	0.183E+01
343	50.000	0.60536E-01	0.64000E-01	0.50000E-02	-0.153E+01
344	70.000	0.68552E-01	0.64000E-01	0.60000E-02	-0.285E-01
345	90.000	0.76678E-01	0.67000E-01	0.60000E-02	0.733E+00
346	110.000	0.83903E-01	0.78000E-01	0.70000E-02	0.174E-01
347	130.000	0.89406E-01	0.80000E-01	0.70000E-02	0.464E+00
348	150.000	0.92800E-01	0.92000E-01	0.70000E-02	-0.799E+00
349	170.000	0.94293E-01	0.58000E-01	0.16000E-01	0.186E+01
350	10.000	0.50041E-01	0.54000E-01	0.60000E-02	0.842E-01
351	30.000	0.53887E-01	0.58000E-01	0.50000E-02	0.139E+00
352	50.000	0.60536E-01	0.66000E-01	0.40000E-02	-0.160E-01
353	70.000	0.68552E-01	0.81000E-01	0.50000E-02	-0.127E+01
354	90.000	0.76678E-01	0.93000E-01	0.50000E-02	-0.190E+01
355	110.000	0.83903E-01	0.89000E-01	0.50000E-02	0.477E+00
356	130.000	0.89406E-01	0.10000E+00	0.50000E-02	-0.524E+00
357	150.000	0.92800E-01	0.97000E-01	0.60000E-02	0.680E+00
358	170.000	0.94293E-01	0.10300E+00	0.90000E-02	-0.329E-01
359	5.000	0.51601E-01	0.47000E-01	0.14000E-01	0.536E+00
360	15.000	0.52654E-01	0.65000E-01	0.80000E-02	-0.117E+01
361	25.000	0.54679E-01	0.46000E-01	0.70000E-02	0.168E+01
362	35.000	0.57529E-01	0.67000E-01	0.70000E-02	-0.891E+00
363	45.000	0.61017E-01	0.63000E-01	0.80000E-02	0.181E+00
364	55.000	0.64946E-01	0.80000E-01	0.80000E-02	-0.143E+01
365	65.000	0.69130E-01	0.72000E-01	0.80000E-02	0.127E+00
