row	angle	predicted_obs	measured_obs	error	dchi
194	145.000	0.32697E-01	0.44000E-01	0.70000E-02	-0.128E+01
195	155.000	0.33288E-01	0.41000E-01	0.70000E-02	-0.762E+00
196	165.000	0.33671E-01	0.59000E-01	0.80000E-02	-0.287E+01
197	175.000	0.33857E-01	0.47000E-01	0.14000E-01	-0.766E+00
198	10.000	0.22126E-01	0.22000E-01	0.40000E-02	0.648E+00
199	30.000	0.23724E-01	0.23000E-01	0.30000E-02	0.112E+01
200	50.000	0.26605E-01	0.29000E-01	0.30000E-02	0.190E+00
201	70.000	0.30317E-01	0.36000E-01	0.30000E-02	-0.768E+00
202	90.000	0.34364E-01	0.43000E-01	0.30000E-02	-0.160E+01
203	110.000	0.38184E-01	0.49000E-01	0.40000E-02	-0.164E+01
204	130.000	0.41225E-01	0.49000E-01	0.40000E-02	-0.795E+00
205	150.000	0.43182E-01	0.51000E-01	0.50000E-02	-0.601E+00
206	170.000	0.44083E-01	0.53000E-01	0.70000E-02	-0.572E+00
207	10.000	0.22601E-01	0.23000E-01	0.50000E-02	0.152E+00
208	30.000	0.24231E-01	0.30000E-01	0.30000E-02	-0.151E+01
209	50.000	0.27168E-01	0.28000E-01	0.30000E-02	0.186E+00
210	70.000	0.30949E-01	0.34000E-01	0.30000E-02	-0.489E+00
211	90.000	0.35069E-01	0.36000E-01	0.30000E-02	0.288E+00
212	110.000	0.38953E-01	0.43000E-01	0.40000E-02	-0.513E+00
213	130.000	0.42041E-01	0.43000E-01	0.40000E-02	0.298E+00
214	150.000	0.44023E-01	0.49000E-01	0.40000E-02	-0.681E+00
215	170.000	0.44934E-01	0.40000E-01	0.70000E-02	0.103E+01
216	8.440	0.26281E-01	0.30000E-01	0.16000E-01	0.103E+00
217	24.500	0.27547E-01	0.28000E-01	0.70000E-02	0.740E+00
218	40.500	0.29859E-01	0.28000E-01	0.50000E-02	0.159E+01
219	56.500	0.32951E-01	0.46000E-01	0.60000E-02	-0.105E+01
220	72.500	0.36531E-01	0.63000E-01	0.60000E-02	-0.317E+01
221	88.500	0.40291E-01	0.71000E-01	0.70000E-02	-0.321E+01
222	104.500	0.43890E-01	0.67000E-01	0.70000E-02	-0.202E+01
223	120.500	0.46983E-01	0.54000E-01	0.70000E-02	0.370E+00
224	136.500	0.49321E-01	0.74000E-01	0.10000E-01	-0.146E+01
225	152.500	0.50830E-01	0.36000E-01	0.10000E-01	0.252E+01
226	168.500	0.51591E-01	0.72000E-01	0.24000E-01	-0.411E+00
227	18.190	0.29039E-01	0.26000E-01	0.32000E-02	0.260E+01
228	31.790	0.30733E-01	0.33800E-01	0.30000E-02	0.836E+00
229	41.410	0.32379E-01	0.34600E-01	0.32000E-02	0.114E+01
230	49.460	0.33985E-01	0.46600E-01	0.35000E-02	-0.184E+01
231	56.630	0.35556E-01	0.39300E-01	0.38000E-02	0.712E+00
232	63.260	0.37101E-01	0.48900E-01	0.37000E-02	-0.137E+01
233	69.510	0.38617E-01	0.48000E-01	0.36000E-02	-0.661E+00
234	75.520	0.40112E-01	0.47300E-01	0.38000E-02	0.228E-01
235	81.370	0.41582E-01	0.59500E-01	0.36000E-02	-0.288E+01
236	87.130	0.43028E-01	0.56400E-01	0.35000E-02	-0.159E+01
237	92.870	0.44450E-01	0.57500E-01	0.34000E-02	-0.147E+01
238	98.630	0.45839E-01	0.58500E-01	0.35000E-02	-0.124E+01
239	104.480	0.47193E-01	0.62500E-01	0.29000E-02	-0.233E+01
240	110.490	0.48505E-01	0.59200E-01	0.30000E-02	-0.632E+00
241	116.740	0.49769E-01	0.60900E-01	0.28000E-02	-0.752E+00
242	123.370	0.50978E-01	0.59100E-01	0.29000E-02	0.388E+00
243	130.540	0.52120E-01	0.62600E-01	0.28000E-02	-0.367E+00
244	138.590	0.53187E-01	0.57700E-01	0.30000E-02	0.171E+01
245	148.210	0.54168E-01	0.63400E-01	0.27000E-02	0.219E+00
246	161.810	0.55051E-01	0.66700E-01	0.30000E-02	-0.555E+00
247	10.000	0.28590E-01	0.17000E-01	0.50000E-02	0.250E+01
248	30.000	0.30628E-01	0.32000E-01	0.40000E-02	-0.941E-01
249	50.000	0.34281E-01	0.38000E-01	0.40000E-02	-0.651E+00
250	70.000	0.38943E-01	0.49000E-01	0.40000E-02	-0.220E+01
251	90.000	0.43970E-01	0.46000E-01	0.40000E-02	-0.150E+00
252	110.000	0.48649E-01	0.54000E-01	0.40000E-02	-0.943E+00
253	130.000	0.52301E-01	0.51000E-01	0.40000E-02	0.750E+00
254	150.000	0.54585E-01	0.55000E-01	0.50000E-02	0.272E+00
255	170.000	0.55603E-01	0.52000E-01	0.80000E-02	0.676E+00
256	10.000	0.30126E-01	0.35000E-01	0.50000E-02	-0.427E+00
257	30.000	0.32272E-01	0.35000E-01	0.40000E-02	0.519E-01
258	50.000	0.36111E-01	0.46000E-01	0.40000E-02	-0.165E+01
259	70.000	0.41000E-01	0.46000E-01	0.30000E-02	-0.423E+00
260	90.000	0.46260E-01	0.50000E-01	0.40000E-02	0.117E+00
261	110.000	0.51139E-01	0.52000E-01	0.40000E-02	0.948E+00
262	130.000	0.54930E-01	0.66000E-01	0.40000E-02	-0.152E+01
263	150.000	0.57284E-01	0.65000E-01	0.50000E-02	-0.501E+00
264	170.000	0.58326E-01	0.64000E-01	0.70000E-02	-0.525E-01
265	5.000	0.32273E-01	0.34000E-01	0.13000E-01	0.114E-01
266	15.000	0.32874E-01	0.32000E-01	0.80000E-02	0.348E+00
267	25.000	0.34039E-01	0.24000E-01	0.70000E-02	0.172E+01
268	35.000	0.35701E-01	0.37000E-01	0.70000E-02	0.111E+00
269	45.000	0.37777E-01	0.46000E-01	0.70000E-02	-0.861E+00
270	55.000	0.40176E-01	0.58000E-01	0.80000E-02	-0.194E+01
271	65.000	0.42809E-01	0.49000E-01	0.70000E-02	-0.529E+00
272	75.000	0.45584E-01	0.45000E-01	0.70000E-02	0.462E+00
273	85.000	0.48405E-01	0.60000E-01	0.70000E-02	-0.125E+01
274	95.000	0.51172E-01	0.63000E-01	0.70000E-02	-0.127E+01
275	105.000	0.53777E-01	0.63000E-01	0.70000E-02	-0.871E+00
276	115.000	0.56123E-01	0.59000E-01	0.80000E-02	0.478E-01
277	125.000	0.58129E-01	0.71000E-01	0.80000E-02	-0.119E+01
278	135.000	0.59749E-01	0.72000E-01	0.80000E-02	-0.110E+01
279	145.000	0.60976E-01	0.68000E-01	0.80000E-02	-0.435E+00
280	155.000	0.61832E-01	0.82000E-01	0.80000E-02	-0.207E+01
281	165.000	0.62364E-01	0.63000E-01	0.90000E-02	0.332E+00
282	175.000	0.62616E-01	0.73000E-01	0.14000E-01	-0.482E+00
283	10.000	0.35291E-01	0.29000E-01	0.70000E-02	0.948E+00
284	30.000	0.37802E-01	0.41000E-01	0.40000E-02	-0.707E+00
285	50.000	0.42275E-01	0.46000E-01	0.40000E-02	-0.827E+00
286	70.000	0.47934E-01	0.58000E-01	0.40000E-02	-0.240E+01
287	90.000	0.53972E-01	0.56000E-01	0.50000E-02	-0.299E+00
288	110.000	0.59515E-01	0.56000E-01	0.50000E-02	0.820E+00
289	130.000	0.63755E-01	0.54000E-01	0.50000E-02	0.208E+01
290	150.000	0.66329E-01	0.65000E-01	0.50000E-02	0.396E+00
291	170.000	0.67437E-01	0.75000E-01	0.17000E-01	-0.406E+00
292	10.000	0.40110E-01	0.45000E-01	0.60000E-02	-0.112E-01
293	30.000	0.42971E-01	0.43000E-01	0.40000E-02	0.128E+01
294	50.000	0.48047E-01	0.52000E-01	0.40000E-02	0.456E+00
295	70.000	0.54433E-01	0.61000E-01	0.40000E-02	-0.554E-02
296	90.000	0.61198E-01	0.82000E-01	0.50000E-02	-0.269E+01
297	110.000	0.67349E-01	0.79000E-01	0.50000E-02	-0.711E+00
298	130.000	0.71988E-01	0.81000E-01	0.50000E-02	-0.714E-01
299	150.000	0.74744E-01	0.92000E-01	0.60000E-02	-0.138E+01
300	170.000	0.75900E-01	0.92000E-01	0.90000E-02	-0.775E+00
301	10.000	0.42532E-01	0.32000E-01	0.10000E-01	0.102E+01
302	30.000	0.45571E-01	0.50000E-01	0.50000E-02	-0.964E+00
303	50.000	0.50954E-01	0.58000E-01	0.40000E-02	-0.187E+01
