row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact	typed_predicted	legacy_predicted	typed_dchi	legacy_dchi
451	yes	no	yes	yes	no	no	0.13667E+00	0.13745E+00	0.727E+00	0.794E+00
452	yes	no	yes	yes	no	no	0.13688E+00	0.13783E+00	0.897E+00	0.946E+00
453	yes	no	yes	yes	no	no	0.75186E-01	0.74545E-01	0.143E+01	0.134E+01
454	yes	no	yes	yes	no	no	0.80823E-01	0.80597E-01	-0.138E+01	-0.142E+01
455	yes	no	yes	yes	no	no	0.90640E-01	0.90885E-01	-0.272E+01	-0.268E+01
456	yes	no	yes	yes	no	no	0.10261E+00	0.10294E+00	-0.446E+00	-0.381E+00
457	yes	no	yes	yes	no	no	0.11474E+00	0.11470E+00	-0.161E+00	-0.170E+00
458	yes	no	yes	yes	no	no	0.12508E+00	0.12469E+00	0.142E+01	0.135E+01
459	yes	no	yes	yes	no	no	0.13215E+00	0.13190E+00	0.940E+00	0.896E+00
460	yes	no	yes	yes	no	no	0.13568E+00	0.13603E+00	-0.113E+00	-0.634E-01
461	yes	no	yes	yes	no	no	0.13681E+00	0.13769E+00	0.261E+00	0.360E+00
462	yes	no	yes	yes	no	no	0.77076E-01	0.76409E-01	0.116E+01	0.111E+01
