call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_reconstructed	opec_reconstructed	raw_real	raw_imag
2	1	1	2	1	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-7.9589807987213135E-001	-1.0248589515686035E+000	-6.9596320390701294E-001	-2.7880273410119116E-004
2	1	1	2	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.3972434252500534E-003	-5.6229094043374062E-003	-4.6113124117255211E-003	-2.6594623392384165E-008
2	1	1	2	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-8.8675951701588929E-005	-8.8946755568031222E-005	1.5028737834654748E-005	4.7382491810341043E-013
2	1	1	2	2	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	2.8637857176363468E-003	2.7129685040563345E-003	3.6195083521306515E-003	-3.0607871792653896E-008
2	1	1	2	2	4	124	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	3	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	2.7372065931558609E-002	2.7049608528614044E-002	1.8852522596716881E-002	2.1794573967781616E-007
2	1	1	3	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	4.3376986286602914E-004	4.3350094347260892E-004	6.3348794355988503E-004	2.1878378275719257E-010
2	1	1	3	2	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	2.5124222040176392E-001	2.5306808948516846E-001	2.3091173171997070E-001	5.6006221711868420E-005
2	1	1	3	2	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	5.2456217817962170E-003	5.2477032877504826E-003	5.6986687704920769E-003	1.1087129792031192E-007
2	1	1	3	2	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	1.3207325537223369E-004	1.3207612209953368E-004	1.3120156654622406E-004	-1.0210834781865241E-011
2	1	1	4	1	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	1.3573014736175537E-001	5.2762967348098755E-001	1.0711900889873505E-001	7.5795491284225136E-005
2	1	1	4	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	3.9993375539779663E-003	3.9241164922714233E-003	3.6225784569978714E-003	3.9866684176104172E-008
2	1	1	4	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	5.9011053963331506E-005	5.8920788433169946E-005	5.8119527238886803E-005	2.2275230271429081E-011
2	1	1	4	2	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-2.3463964462280273E-001	-2.9404777288436890E-001	-2.1717390418052673E-001	-5.2664112445199862E-005
2	1	1	4	2	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-2.4900289718061686E-003	-2.5403008330613375E-003	-2.9280965682119131E-003	-5.6969259532024807E-008
2	1	1	4	2	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-4.4385909859556705E-005	-4.4446995161706582E-005	4.8346599214710295E-005	-3.7625258811346818E-012
2	1	1	5	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-3.6857519298791885E-002	-3.6535061895847321E-002	-3.7760674953460693E-002	-4.3178008013455837E-007
2	1	1	5	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-4.1217057150788605E-004	-4.1190165211446583E-004	-4.2048894101753831E-004	-1.5253116825153512E-010
2	1	1	5	2	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-2.4732245504856110E-001	-2.4914833903312683E-001	-2.2727604210376740E-001	-5.5128079111455008E-005
2	1	1	5	2	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.2574067376554012E-003	-5.2594882436096668E-003	-5.7456335052847862E-003	-1.1178710934700575E-007
2	1	1	5	2	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-1.3203054550103843E-004	-1.3203341222833842E-004	-1.3115914771333337E-004	1.0207532735728719E-011
2	1	1	6	1	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-3.1153964996337891E-001	-5.7125735282897949E-001	-2.4429947137832642E-001	-1.7288835078943521E-004
2	1	1	6	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-3.9501301944255829E-003	-3.8749088998883963E-003	-3.9623039774596691E-003	-4.5864847919574459E-008
2	1	1	6	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.9116762713529170E-005	-5.9026497183367610E-005	-3.0800083186477423E-004	-1.1298773028300957E-010
2	1	1	6	2	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	3.3371880650520325E-001	3.9312693476676941E-001	3.0524235963821411E-001	7.4037729064002633E-005
2	1	1	6	2	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	2.2635646164417267E-003	2.3138364776968956E-003	2.5028544478118420E-003	4.8695881105231820E-008
2	1	1	6	2	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	4.5120472350390628E-005	4.5181557652540505E-005	4.4822674681199715E-005	-3.4883495831500300E-012
3	1	1	1	1	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-1.3192173838615417E-001	-1.3436564803123474E-001	-1.4256185293197632E-001	-6.4361267959611723E-007
3	1	1	1	1	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-2.4392206687480211E-003	-2.4424681905657053E-003	-2.0537509117275476E-003	-5.5709836049855355E-011
3	1	1	1	2	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-1.9673930481076241E-002	-1.9658016040921211E-002	-2.1012634038925171E-002	1.3918419483616162E-007
3	1	1	1	2	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-7.8097393270581961E-004	-7.8093906631693244E-004	-7.2979321703314781E-004	-3.7731276436581140E-010
3	1	1	2	1	2	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-1.2566316127777100E+000	-1.6216878890991211E+000	-1.1158452033996582E+000	-4.0466070640832186E-004
3	1	1	2	1	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-1.3492768630385399E-002	-1.4066091738641262E-002	-1.1527679860591888E-002	-5.2096385871891471E-008
3	1	1	2	1	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-3.5119542735628784E-004	-3.5229182685725391E-004	-9.2305032012518495E-005	-2.5469680618034340E-012
3	1	1	2	2	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	7.1545378305017948E-003	6.7716841585934162E-003	9.0477243065834045E-003	-5.9926286155587150E-008
3	1	1	2	2	4	124	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
3	1	1	3	1	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	6.8234957754611969E-002	6.7420326173305511E-002	4.7081995755434036E-002	4.3073583810837590E-007
3	1	1	3	1	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	1.7113907961174846E-003	1.7103083664551377E-003	2.2198241204023361E-003	6.3228461355535615E-010
3	1	1	3	2	2	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	3.9564636349678040E-001	3.9856615662574768E-001	3.6564639210700989E-001	8.0259182141162455E-005
3	1	1	3	2	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	1.3070532120764256E-002	1.3075836934149265E-002	1.4199721626937389E-002	2.1608553879559622E-007
3	1	1	3	2	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	5.2078411681577563E-004	5.2079575834795833E-004	5.1734695443883538E-004	-3.2773003061370432E-011
3	1	1	4	1	2	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	2.1363249421119690E-001	8.3438354730606079E-001	1.7154277861118317E-001	1.0772586392704397E-004
3	1	1	4	1	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	1.0010010562837124E-002	9.8189050331711769E-003	9.0685253962874413E-003	7.9139887532164721E-008
3	1	1	4	1	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	2.3372187570203096E-004	2.3335641890298575E-004	2.3425387917086482E-004	7.1421528413662116E-011
3	1	1	4	2	2	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-3.7050324678421021E-001	-4.6513873338699341E-001	-3.4621921181678772E-001	-7.5975083746016026E-005
3	1	1	4	2	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-6.2276627868413925E-003	-6.3552795909345150E-003	-7.3268301784992218E-003	-1.1149938927701442E-007
3	1	1	4	2	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-1.7579368432052433E-004	-1.7604079039301723E-004	5.6889788538683206E-005	-3.6037078269407496E-012
3	1	1	5	1	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-9.1980710625648499E-002	-9.1166079044342041E-002	-9.4375118613243103E-002	-8.5610884070774773E-007
3	1	1	5	1	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-1.6256032977253199E-003	-1.6245208680629730E-003	-1.6607636353000998E-003	-4.8926346307709423E-010
3	1	1	5	2	2	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-3.8945323228836060E-001	-3.9237302541732788E-001	-3.5984423756599426E-001	-7.8992823546286672E-005
3	1	1	5	2	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-1.3100058771669865E-002	-1.3105363585054874E-002	-1.4317085966467857E-002	-2.1787555226637778E-007
3	1	1	5	2	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-5.2061438327655196E-004	-5.2062602480873466E-004	-5.1717832684516907E-004	3.2762320634205366E-011
3	1	1	6	1	2	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-4.9224269390106201E-001	-9.0351766347885132E-001	-3.9118090271949768E-001	-2.4570690584369004E-004
3	1	1	6	1	3	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-9.8863048478960991E-003	-9.6951993182301521E-003	-9.9406009539961815E-003	-9.0713498934746895E-008
3	1	1	6	1	4	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	-2.3414350289385766E-004	-2.3377804609481245E-004	-8.6202804232016206E-004	-2.5706800577118827E-010
3	1	1	6	2	2	134	1.4611999511718750E+002	1.0744860839843750E+003	1.4612007141113281E+002	5.2760654687881470E-001	6.2224203348159790E-001	4.8389357328414917E-001	1.0622041008900851E-004
