row_id	family	branch	legacy_l	state_index	form_selector	dispatch	field	typed	forced_legacy	metadata_exact	value_exact
15	4	1	5	1	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
15	4	1	5	1	25	T	der	4.5938796233713219E-007	4.5938796233713219E-007	yes	yes
15	4	1	5	1	25	T	dei	9.0211781109222983E-031	9.0211781109222983E-031	yes	yes
16	4	1	6	1	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
16	4	1	6	1	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
16	4	1	6	1	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
16	4	1	6	1	25	T	zr	2.4470652343750000E+004	2.4470652343750000E+004	yes	yes
16	4	1	6	1	25	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
16	4	1	6	1	25	T	born	8.3103577352972025E-009	8.3103577352972025E-009	yes	yes
16	4	1	6	1	25	T	ter	1.8596925492381747E-029	1.8596925492381747E-029	yes	yes
16	4	1	6	1	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
16	4	1	6	1	25	T	der	8.3103577352972025E-009	8.3103577352972025E-009	yes	yes
16	4	1	6	1	25	T	dei	1.5454710007749373E-037	1.5454710007749373E-037	yes	yes
17	4	2	5	2	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
17	4	2	5	2	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
17	4	2	5	2	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
17	4	2	5	2	25	T	zr	6.0587597656250000E+002	6.0587597656250000E+002	yes	yes
17	4	2	5	2	25	T	zb	-4.7192652414510157E-017	-4.7192652414510157E-017	yes	yes
17	4	2	5	2	25	T	born	-3.6704099670714641E-007	-3.6704099670714641E-007	yes	yes
17	4	2	5	2	25	T	ter	2.9041490212974993E-024	2.9041490212974993E-024	yes	yes
17	4	2	5	2	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
17	4	2	5	2	25	T	der	-3.6704099670714641E-007	-3.6704099670714641E-007	yes	yes
17	4	2	5	2	25	T	dei	-1.0659417567889287E-030	-1.0659417567889287E-030	yes	yes
18	4	2	6	2	25	T	z	6.2601625359093305E-006	6.2601625359093305E-006	yes	yes
18	4	2	6	2	25	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
18	4	2	6	2	25	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
18	4	2	6	2	25	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
18	4	2	6	2	25	T	zb	-1.4670905071043762E-019	-1.4670905071043762E-019	yes	yes
18	4	2	6	2	25	T	born	-6.9265131408258185E-009	-6.9265131408258185E-009	yes	yes
18	4	2	6	2	25	T	ter	9.8330926232725406E-030	9.8330926232725406E-030	yes	yes
18	4	2	6	2	25	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
18	4	2	6	2	25	T	der	-6.9265131408258185E-009	-6.9265131408258185E-009	yes	yes
18	4	2	6	2	25	T	dei	-6.8109046871674847E-038	-6.8109046871674847E-038	yes	yes
19	5	1	5	1	3	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
19	5	1	5	1	3	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
19	5	1	5	1	3	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
19	5	1	5	1	3	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
19	5	1	5	1	3	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
19	5	1	5	1	3	T	born	-3.6244962302589556E-006	-3.6244962302589556E-006	yes	yes
19	5	1	5	1	3	T	ter	1.9637384698526685E-024	1.9637384698526685E-024	yes	yes
19	5	1	5	1	3	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
19	5	1	5	1	3	T	der	-3.6244962302589556E-006	-3.6244962302589556E-006	yes	yes
19	5	1	5	1	3	T	dei	-7.1175629989746882E-030	-7.1175629989746882E-030	yes	yes
20	5	1	6	1	3	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
20	5	1	6	1	3	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
20	5	1	6	1	3	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
20	5	1	6	1	3	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
20	5	1	6	1	3	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
20	5	1	6	1	3	T	born	-7.2437465803432133E-008	-7.2437465803432133E-008	yes	yes
20	5	1	6	1	3	T	ter	1.8596925492381747E-029	1.8596925492381747E-029	yes	yes
20	5	1	6	1	3	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
20	5	1	6	1	3	T	der	-7.2437465803432133E-008	-7.2437465803432133E-008	yes	yes
20	5	1	6	1	3	T	dei	-1.3471141763450765E-036	-1.3471141763450765E-036	yes	yes
21	5	2	5	2	3	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
21	5	2	5	2	3	T	qb	1.0294783115386963E+000	1.0294783115386963E+000	yes	yes
21	5	2	5	2	3	T	qk	8.1183714792132378E-003	8.1183714792132378E-003	yes	yes
21	5	2	5	2	3	T	zr	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
21	5	2	5	2	3	T	zb	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
21	5	2	5	2	3	T	born	-1.4673553323518718E-006	-1.4673553323518718E-006	yes	yes
21	5	2	5	2	3	T	ter	2.9041490212974993E-024	2.9041490212974993E-024	yes	yes
21	5	2	5	2	3	T	tei	0.0000000000000000E+000	0.0000000000000000E+000	yes	yes
21	5	2	5	2	3	T	der	-1.4673553323518718E-006	-1.4673553323518718E-006	yes	yes
21	5	2	5	2	3	T	dei	-4.2614186715614163E-030	-4.2614186715614163E-030	yes	yes
22	5	2	6	2	3	T	z	3.7086505471961573E-005	3.7086505471961573E-005	yes	yes
