point	lab_energy	row	family	branch	legacy_l	state_index	selector	dispatch	dispatch_title	previous_title	formula_title	pre_reset_energy	input_energy	effective_energy	dither_before	hadronic_real	hadronic_imag	born	opec	ter	tei	der	dei	w_cm	final_meson_energy	photon_cm_momentum	meson_cm_momentum
1	 2.0000000000000000E+002	13	3	2	5	2	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.6810497527330881E-006	 2.8259282934539609E-012	 1.9063467159867287E-002	 1.9063638523221016E-002	 1.6810497527330881E-006	 2.8259282934539609E-012	 1.9063467159867287E-002	 3.2046635567439807E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	14	3	2	6	2	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	 5.1792375743389130E-003	 5.1792412996292114E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	 5.1792375743389130E-003	 1.3082637750905235E-010	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	15	4	1	5	1	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.5929455230434542E-006	 2.5374754381024545E-012	 7.6448344625532627E-003	 7.6405508443713188E-003	 1.5929455230434542E-006	 2.5374754381024545E-012	 7.5914287008345127E-003	 1.2092733037150083E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	16	4	1	6	1	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 9.4136034078928787E-008	 8.8615926256046043E-015	 1.6020636539906263E-003	 1.6019744798541069E-003	 9.4136034078928787E-008	 8.8615926256046043E-015	 1.6023432835936546E-003	 1.5083823079464764E-010	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	17	4	2	5	2	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.6810497527330881E-006	 2.8259282934539609E-012	-6.0975844971835613E-003	-6.1003649607300758E-003	 1.6810497527330881E-006	 2.8259282934539609E-012	-6.1293262988328934E-003	-1.0303702779879131E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	18	4	2	6	2	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	-1.3354538241401315E-003	-1.3355119153857231E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	-1.3370161177590489E-003	-3.3772727670022817E-011	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	19	5	1	5	1	3	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.5929455230434542E-006	 2.5374754381024545E-012	-4.8014212399721146E-002	-4.8006400465965271E-002	 1.5929455230434542E-006	 2.5374754381024545E-012	-4.8014212399721146E-002	-7.6484027999867976E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	20	5	1	6	1	3	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 9.4136034078928787E-008	 8.8615926256046043E-015	-1.0951158590614796E-002	-1.0951010510325432E-002	 9.4136034078928787E-008	 8.8615926256046043E-015	-1.0951158590614796E-002	-1.0308985887164113E-009	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	21	5	2	5	2	3	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.6810497527330881E-006	 2.8259282934539609E-012	-1.9065080210566521E-002	-1.9065251573920250E-002	 1.6810497527330881E-006	 2.8259282934539609E-012	-1.9065080210566521E-002	-3.2049349840690411E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	22	5	2	6	2	3	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	-5.1791658625006676E-003	-5.1791695877909660E-003	 2.5259776492703168E-008	 6.3805631369994917E-016	-5.1791658625006676E-003	-1.3082457339663733E-010	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
