point	lab_energy	row	family	branch	legacy_l	state_index	selector	legacy_dispatch	candidate_dispatch	legacy_title	candidate_title	legacy_previous	candidate_previous	legacy_epx	candidate_pre_reset	legacy_input	candidate_input	legacy_effective	candidate_effective	legacy_dither	candidate_dither	legacy_real	candidate_real	legacy_imag	candidate_imag	exact	first_field
2	 3.0000000000000000E+002	13	3	2	5	2	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	8.6277592345140874E-005	 8.6277592345140874E-005	7.4438228914175397E-009	 7.4438228914175397E-009	T	NA
2	 3.0000000000000000E+002	14	3	2	6	2	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	-4.5626284190802835E-006	-4.5626284190802835E-006	2.0817578563758765E-011	 2.0817578563758765E-011	T	NA
2	 3.0000000000000000E+002	15	4	1	5	1	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.4616626140195876E-004	 1.4616626140195876E-004	2.1364575886195780E-008	 2.1364575886195780E-008	T	NA
2	 3.0000000000000000E+002	16	4	1	6	1	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.1643913239822723E-005	 1.1643913239822723E-005	1.3558071332298027E-010	 1.3558071332298027E-010	T	NA
2	 3.0000000000000000E+002	17	4	2	5	2	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	8.6277592345140874E-005	 8.6277592345140874E-005	7.4438228914175397E-009	 7.4438228914175397E-009	T	NA
2	 3.0000000000000000E+002	18	4	2	6	2	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	-4.5626284190802835E-006	-4.5626284190802835E-006	2.0817578563758765E-011	 2.0817578563758765E-011	T	NA
2	 3.0000000000000000E+002	19	5	1	5	1	3	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.4616626140195876E-004	 1.4616626140195876E-004	2.1364575886195780E-008	 2.1364575886195780E-008	T	NA
2	 3.0000000000000000E+002	20	5	1	6	1	3	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.1643913239822723E-005	 1.1643913239822723E-005	1.3558071332298027E-010	 1.3558071332298027E-010	T	NA
2	 3.0000000000000000E+002	21	5	2	5	2	3	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	8.6277592345140874E-005	 8.6277592345140874E-005	7.4438228914175397E-009	 7.4438228914175397E-009	T	NA
2	 3.0000000000000000E+002	22	5	2	6	2	3	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	-4.5626284190802835E-006	-4.5626284190802835E-006	2.0817578563758765E-011	 2.0817578563758765E-011	T	NA
2	 3.0000000000000000E+002	23	6	1	5	1	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.4616626140195876E-004	 1.4616626140195876E-004	2.1364575886195780E-008	 2.1364575886195780E-008	T	NA
2	 3.0000000000000000E+002	24	6	1	6	1	3	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	1.1643913239822723E-005	 1.1643913239822723E-005	1.3558071332298027E-010	 1.3558071332298027E-010	T	NA
2	 3.0000000000000000E+002	25	6	2	5	2	25	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	8.6277592345140874E-005	 8.6277592345140874E-005	7.4438228914175397E-009	 7.4438228914175397E-009	T	NA
2	 3.0000000000000000E+002	26	6	2	6	2	3	T	T	SP00	SP00	SP00	SP00	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.4995721435546875E+002	 1.4995721435546875E+002	1.0000000474974513E-003	 1.0000000474974513E-003	-4.5626284190802835E-006	-4.5626284190802835E-006	2.0817578563758765E-011	 2.0817578563758765E-011	T	NA
