sequence	row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	pre_reset_energy	post_reset_energy	epxx	dispatch	dispatch_branch	dispatch_title	previous_title	effective_energy	dither_before	hadronic_real	hadronic_imag
77	1	1	1	5	2	5	3	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.4209809268427307E-008	5.8611487694577619E-016
77	2	1	1	6	2	5	3	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	6.1056582012497529E-010	3.7279063068870730E-019
77	3	1	2	2	2	1	4	21	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.2819351404905319E-002	5.2099424647167325E-004
77	4	1	2	5	2	5	4	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	-1.0553184992545539E-008	1.1136971831978793E-016
77	5	1	2	6	2	5	4	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	1.3239782603591266E-009	1.7529183475256766E-018
77	6	2	1	5	2	5	3	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.4209809268427307E-008	5.8611487694577619E-016
77	7	2	1	6	2	5	3	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	6.1056582012497529E-010	3.7279063068870730E-019
77	8	2	2	2	2	1	4	21	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.2819351404905319E-002	5.2099424647167325E-004
77	9	2	2	5	2	5	4	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	-1.0553184992545539E-008	1.1136971831978793E-016
77	10	2	2	6	2	5	4	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	1.3239782603591266E-009	1.7529183475256766E-018
77	11	3	1	5	2	5	1	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.9934394518704721E-008	8.9606800220820701E-016
77	12	3	1	6	2	5	1	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	9.4552243812273673E-010	8.9401267014424955E-019
77	13	3	2	5	2	5	2	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	3.8716226669066600E-008	1.4989462435152970E-015
77	14	3	2	6	2	5	2	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	4.1088019098189932E-010	1.6882256116430642E-019
77	15	4	1	5	2	5	1	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.9934394518704721E-008	8.9606800220820701E-016
77	16	4	1	6	2	5	1	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	9.4552243812273673E-010	8.9401267014424955E-019
77	17	4	2	5	2	5	2	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	3.8716226669066600E-008	1.4989462435152970E-015
77	18	4	2	6	2	5	2	25	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	4.1088019098189932E-010	1.6882256116430642E-019
77	19	5	1	5	0	3	1	3	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	2.9934394518704721E-008	8.9606800220820701E-016
77	20	5	1	6	0	3	1	3	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	9.4552243812273673E-010	8.9401267014424955E-019
77	21	5	2	5	0	3	2	3	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	3.8716226669066600E-008	1.4989462435152970E-015
77	22	5	2	6	0	3	2	3	2.0087202072143555E+001	2.0087202072143555E+001	2.0087202072143555E+001	T	7	SP00	SP00	2.0087202072143555E+001	1.0000000474974513E-003	4.1088019098189932E-010	1.6882256116430642E-019
