row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact
408	yes	no	yes	yes	no	no
409	yes	no	yes	yes	no	no
410	yes	no	yes	yes	no	no
411	yes	no	yes	yes	no	no
412	yes	no	yes	yes	no	no
413	yes	no	yes	yes	no	no
414	yes	no	yes	yes	no	no
415	yes	no	yes	yes	no	no
416	yes	no	yes	yes	no	no
417	yes	no	yes	yes	no	no
418	yes	no	yes	yes	no	no
419	yes	no	yes	yes	no	no
420	yes	no	yes	yes	no	no
421	yes	no	yes	yes	no	no
422	yes	no	yes	yes	no	no
423	yes	no	yes	yes	no	no
424	yes	no	yes	yes	no	no
425	yes	no	yes	yes	no	no
426	yes	no	yes	yes	no	no
427	yes	no	yes	yes	no	no
428	yes	no	yes	yes	no	no
429	yes	no	yes	yes	no	no
430	yes	no	yes	yes	no	no
431	yes	no	yes	yes	no	no
432	yes	no	yes	yes	no	no
433	yes	no	yes	yes	no	no
434	yes	no	yes	yes	no	no
435	yes	no	yes	yes	no	no
436	yes	no	yes	yes	no	no
437	yes	no	yes	yes	no	no
438	yes	no	yes	yes	no	no
439	yes	no	yes	yes	no	no
440	yes	no	yes	yes	no	no
441	yes	no	yes	yes	no	no
442	yes	no	yes	yes	no	no
443	yes	no	yes	yes	no	no
444	yes	no	yes	yes	no	no
445	yes	no	yes	yes	no	no
446	yes	no	yes	yes	no	no
447	yes	no	yes	yes	no	no
448	yes	no	yes	yes	no	no
449	yes	no	yes	yes	no	no
450	yes	no	yes	yes	no	no
451	yes	no	yes	yes	no	no
452	yes	no	yes	yes	no	no
453	yes	no	yes	yes	no	no
454	yes	no	yes	yes	no	no
455	yes	no	yes	yes	no	no
456	yes	no	yes	yes	no	no
457	yes	no	yes	yes	no	no
458	yes	no	yes	yes	no	no
459	yes	no	yes	yes	no	no
460	yes	no	yes	yes	no	no
461	yes	no	yes	yes	no	no
462	yes	no	yes	yes	no	no
463	yes	no	yes	yes	no	no
464	yes	no	yes	yes	no	no
465	yes	no	yes	yes	no	no
466	yes	no	yes	yes	no	no
467	yes	no	yes	yes	no	no
468	yes	no	yes	yes	no	no
469	yes	no	yes	yes	no	no
470	yes	no	yes	yes	no	no
471	yes	no	yes	yes	no	no
472	yes	no	yes	yes	no	no
473	yes	no	yes	yes	no	no
474	yes	no	yes	yes	no	no
475	yes	no	yes	yes	no	no
476	yes	no	yes	yes	no	no
477	yes	no	yes	yes	no	no
478	yes	no	yes	yes	no	no
479	yes	no	yes	yes	no	no
480	yes	no	yes	yes	no	no
481	yes	no	yes	yes	no	no
482	yes	no	yes	yes	no	no
483	yes	no	yes	yes	no	no
484	yes	no	yes	yes	no	no
485	yes	no	yes	yes	no	no
486	yes	no	yes	yes	no	no
487	yes	no	yes	yes	no	no
488	yes	no	yes	yes	no	no
489	yes	no	yes	yes	no	no
490	yes	no	yes	yes	no	no
491	yes	no	yes	yes	no	no
492	yes	no	yes	yes	no	no
493	yes	no	yes	yes	no	no
494	yes	no	yes	yes	no	no
495	yes	no	yes	yes	no	no
496	yes	no	yes	yes	no	no
497	yes	no	yes	yes	no	no
498	yes	no	yes	yes	no	no
499	yes	no	yes	yes	no	no
500	yes	no	yes	yes	no	no
501	yes	no	yes	yes	no	no
502	yes	no	yes	yes	no	no
503	yes	no	yes	yes	no	no
504	yes	no	yes	yes	no	no
505	yes	no	yes	yes	no	no
506	yes	no	yes	yes	no	no
507	yes	no	yes	yes	no	no
508	yes	no	yes	yes	no	no
509	yes	no	yes	yes	no	no
510	yes	no	yes	yes	no	no
511	yes	no	yes	yes	no	no
512	yes	no	yes	yes	no	no
513	yes	no	yes	yes	no	no
514	yes	no	yes	yes	no	no
515	yes	no	yes	yes	no	no
516	yes	no	yes	yes	no	no
517	yes	no	yes	yes	no	no
518	yes	no	yes	yes	no	no
519	yes	no	yes	yes	no	no
520	yes	no	yes	yes	no	no
521	yes	no	yes	yes	no	no
522	yes	no	yes	yes	no	no
523	yes	no	yes	yes	no	no
524	yes	no	yes	yes	no	no
525	yes	no	yes	yes	no	no
526	yes	no	yes	yes	no	no
527	yes	no	yes	yes	no	no
528	yes	no	yes	yes	no	no
529	yes	no	yes	yes	no	no
530	yes	no	yes	yes	no	no
531	yes	no	yes	yes	no	no
532	yes	no	yes	yes	no	no
533	yes	no	yes	yes	no	no
534	yes	no	yes	yes	no	no
535	yes	no	yes	yes	no	no
536	yes	no	yes	yes	no	no
537	yes	no	yes	yes	no	no
538	yes	no	yes	yes	no	no
539	yes	no	yes	yes	no	no
540	yes	no	yes	yes	no	no
541	yes	no	yes	yes	no	no
542	yes	no	yes	yes	no	no
543	yes	no	yes	yes	no	no
544	yes	no	yes	yes	no	no
545	yes	no	yes	yes	no	no
546	yes	no	yes	yes	no	no
547	yes	no	yes	yes	yes	no
548	yes	no	yes	yes	no	no
549	yes	no	yes	yes	no	no
550	yes	no	yes	yes	no	no
551	yes	no	yes	yes	yes	no
552	yes	no	yes	yes	no	no
553	yes	no	yes	yes	no	no
554	yes	no	yes	yes	no	no
555	yes	no	yes	yes	no	no
556	yes	no	yes	yes	no	no
557	yes	no	yes	yes	no	no
558	yes	no	yes	yes	no	no
559	yes	no	yes	yes	no	no
560	yes	no	yes	yes	no	no
561	yes	no	yes	yes	no	no
562	yes	no	yes	yes	no	no
563	yes	no	yes	yes	no	no
564	yes	no	yes	yes	no	no
565	yes	no	yes	yes	no	no
566	yes	no	yes	yes	no	no
567	yes	no	yes	yes	no	no
568	yes	no	yes	yes	no	no
569	yes	no	yes	yes	no	no
570	yes	no	yes	yes	no	no
571	yes	no	yes	yes	no	no
572	yes	no	yes	yes	no	no
573	yes	no	yes	yes	no	no
574	yes	no	yes	yes	no	no
575	yes	no	yes	yes	no	no
576	yes	no	yes	yes	no	no
577	yes	no	yes	yes	no	no
578	yes	no	yes	yes	no	no
579	yes	no	yes	yes	no	no
580	yes	no	yes	yes	no	no
581	yes	no	yes	yes	no	no
582	yes	no	yes	yes	no	no
583	yes	no	yes	yes	no	no
584	yes	no	yes	yes	no	no
585	yes	no	yes	yes	no	no
586	yes	no	yes	yes	no	no
587	yes	no	yes	yes	no	no
588	yes	no	yes	yes	no	no
589	yes	no	yes	yes	no	no
590	yes	no	yes	yes	no	no
591	yes	no	yes	yes	no	no
592	yes	no	yes	yes	no	no
593	yes	no	yes	yes	no	no
594	yes	no	yes	yes	no	no
595	yes	no	yes	yes	no	no
596	yes	no	yes	yes	no	no
597	yes	no	yes	yes	no	no
598	yes	no	yes	yes	no	no
599	yes	no	yes	yes	no	no
600	yes	no	yes	yes	no	no
601	yes	no	yes	yes	no	no
602	yes	no	yes	yes	no	no
603	yes	no	yes	yes	no	no
604	yes	no	yes	yes	no	no
605	yes	no	yes	yes	no	no
606	yes	no	yes	yes	no	no
607	yes	no	yes	yes	no	no
608	yes	no	yes	yes	no	no
609	yes	no	yes	yes	no	no
610	yes	no	yes	yes	no	no
611	yes	no	yes	yes	no	no
612	yes	no	yes	yes	no	no
613	yes	no	yes	yes	no	no
614	yes	no	yes	yes	no	no
615	yes	no	yes	yes	no	no
616	yes	no	yes	yes	no	no
617	yes	no	yes	yes	no	no
618	yes	no	yes	yes	no	no
619	yes	no	yes	yes	no	no
620	yes	no	yes	yes	no	no
621	yes	no	yes	yes	no	no
622	yes	no	yes	yes	no	no
623	yes	no	yes	yes	no	no
624	yes	no	yes	yes	no	no
625	yes	no	yes	yes	no	no
626	yes	no	yes	yes	no	no
627	yes	no	yes	yes	no	no
628	yes	no	yes	yes	no	no
629	yes	no	yes	yes	no	no
630	yes	no	yes	yes	no	no
631	yes	no	yes	yes	no	no
632	yes	no	yes	yes	yes	no
633	yes	no	yes	yes	no	no
634	yes	no	yes	yes	no	no
635	yes	no	yes	yes	no	no
636	yes	no	yes	yes	no	no
637	yes	no	yes	yes	no	no
638	yes	no	yes	yes	no	no
639	yes	no	yes	yes	no	no
640	yes	no	yes	yes	no	no
641	yes	no	yes	yes	no	no
642	yes	no	yes	yes	no	no
643	yes	no	yes	yes	no	no
644	yes	no	yes	yes	no	no
645	yes	no	yes	yes	no	no
646	yes	no	yes	yes	no	no
647	yes	no	yes	yes	no	no
648	yes	no	yes	yes	no	no
649	yes	no	yes	yes	no	no
650	yes	no	yes	yes	no	no
651	yes	no	yes	yes	no	no
652	yes	no	yes	yes	no	no
653	yes	no	yes	yes	no	no
654	yes	no	yes	yes	no	no
655	yes	no	yes	yes	no	no
656	yes	no	yes	yes	no	no
657	yes	no	yes	yes	no	no
658	yes	no	yes	yes	no	no
659	yes	no	yes	yes	no	no
660	yes	no	yes	yes	no	no
661	yes	no	yes	yes	no	no
662	yes	no	yes	yes	no	no
663	yes	no	yes	yes	no	no
664	yes	no	yes	yes	no	no
665	yes	no	yes	yes	no	no
666	yes	no	yes	yes	no	no
667	yes	no	yes	yes	no	no
668	yes	no	yes	yes	no	no
669	yes	no	yes	yes	no	no
670	yes	no	yes	yes	no	no
671	yes	no	yes	yes	no	no
672	yes	no	yes	yes	no	no
673	yes	no	yes	yes	no	no
674	yes	no	yes	yes	no	no
675	yes	no	yes	yes	no	no
676	yes	no	yes	yes	no	no
677	yes	no	yes	yes	no	no
678	yes	no	yes	yes	no	no
679	yes	no	yes	yes	no	no
680	yes	no	yes	yes	no	no
681	yes	no	yes	yes	no	no
682	yes	no	yes	yes	no	no
683	yes	no	yes	yes	no	no
684	yes	no	yes	yes	no	no
685	yes	no	yes	yes	no	no
686	yes	no	yes	yes	no	no
687	yes	no	yes	yes	no	no
688	yes	no	yes	yes	no	no
689	yes	no	yes	yes	no	no
690	yes	no	yes	yes	no	no
691	yes	no	yes	yes	no	no
692	yes	no	yes	yes	no	no
693	yes	no	yes	yes	no	no
694	yes	no	yes	yes	no	no
