call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	w_cm	reconstructed_energy	born_argument	opec_original	raw_real	raw_imag	return_real	return_imag
77	1	1	6	2	3	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	9.0391077101230621E-002	9.3499124050140381E-002	1.0033899545669556E-001	1.3517962543119211E-005	6.8398714065551758E-003	1.3517962543119211E-005
77	1	1	6	2	4	134	1.7013000488281250E+002	1.0952512207031250E+003	1.7012997436523438E+002	1.2258804403245449E-002	1.2288679368793964E-002	1.2177895754575729E-002	-4.2678816036811895E-009	-1.1078361421823502E-004	-4.2678816036811895E-009
78	1	1	1	1	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-2.0317485332489014E+000	-2.0850100517272949E+000	-2.2104265689849854E+000	-9.1516973043326288E-005	-1.2541651725769043E-001	-9.1516973043326288E-005
78	1	1	1	1	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.5189583599567413E-001	-1.5224890410900116E-001	-1.4554370939731598E-001	-2.2755184403422390E-008	6.7051947116851807E-003	-2.2755184403422390E-008
78	1	1	1	2	1	135	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-2.6350086212158203E+001	-1.4212591552734375E+002	-2.4476503372192383E+001	1.1356786489486694E+000	1.1764941406250000E+002	1.1356786489486694E+000
78	1	1	1	2	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-2.9466983675956726E-001	-2.9423180222511292E-001	-3.2023119926452637E-001	1.9608687580330297E-005	-2.5999397039413452E-002	1.9608687580330297E-005
78	1	1	1	2	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-4.8384081572294235E-002	-4.8379268497228622E-002	-4.9256354570388794E-002	-1.5118132523639360E-007	-8.7708607316017151E-004	-1.5118132523639360E-007
78	1	1	2	1	2	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-4.8451623916625977E+000	-6.7007818222045898E+000	-4.9201641082763672E+000	1.9623124971985817E-002	1.7806177139282227E+000	1.9623124971985817E-002
78	1	1	2	1	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-2.1912167966365814E-001	-2.3369070887565613E-001	-1.8884421885013580E-001	-7.8186312748584896E-006	4.4846490025520325E-002	-7.8186312748584896E-006
78	1	1	2	1	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-2.4466609582304955E-002	-2.4606274440884590E-002	-2.0343795418739319E-002	-3.1806854927651784E-009	4.2624790221452713E-003	-3.1806854927651784E-009
78	1	1	2	2	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.1433288455009460E-001	1.0482323914766312E-001	1.4696575701236725E-001	-8.9991390268551186E-006	4.2142517864704132E-002	-8.9991390268551186E-006
78	1	1	2	2	4	124	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.9763721153140068E-002	1.9671399146318436E-002	5.6860414333641529E-003	1.7452441269938390E-008	-1.3985358178615570E-002	1.7452441269938390E-008
78	1	1	3	1	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.0339781045913696E+000	1.0162243843078613E+000	7.7216851711273193E-001	5.2739349484909326E-005	-2.4405586719512939E-001	5.2739349484909326E-005
78	1	1	3	1	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.0779944807291031E-001	1.0768175870180130E-001	1.1506558209657669E-001	2.0073861151104211E-007	7.3838233947753906E-003	2.0073861151104211E-007
78	1	1	3	2	1	135	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.5065203666687012E+001	9.0936832427978516E+000	1.5800938606262207E+001	1.2346656322479248E+000	6.7072553634643555E+000	1.2346656322479248E+000
78	1	1	3	2	2	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.4344117641448975E+000	1.4504231214523315E+000	1.3913335800170898E+000	-3.3094398677349091E-003	-5.9089541435241699E-002	-3.3094398677349091E-003
78	1	1	3	2	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.9550032913684845E-001	1.9564634561538696E-001	2.1253745257854462E-001	3.0007608074811287E-005	1.6891106963157654E-002	3.0007608074811287E-005
78	1	1	3	2	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	3.2264161854982376E-002	3.2265767455101013E-002	3.2051216810941696E-002	-1.2015829220501928E-008	-2.1455064415931702E-004	-1.2015829220501928E-008
78	1	1	4	1	2	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	7.5424224138259888E-001	3.3869473934173584E+000	7.4044352769851685E-001	-3.7800171412527561E-003	-2.6465039253234863E+000	-3.7800171412527561E-003
78	1	1	4	1	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.6924242675304413E-001	1.6438612341880798E-001	1.5358921885490417E-001	1.0501164069864899E-005	-1.0796904563903809E-002	1.0501164069864899E-005
78	1	1	4	1	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.6320535913109779E-002	1.6273980960249901E-002	1.7235388979315758E-002	3.0078314949832929E-008	9.6140801906585693E-004	3.0078314949832929E-008
78	1	1	4	2	2	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.4353210926055908E+000	-1.9044067859649658E+000	-1.4583053588867188E+000	3.4687398001551628E-003	4.4610142707824707E-001	3.4687398001551628E-003
78	1	1	4	2	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.0269143432378769E-001	-1.0586128383874893E-001	-1.2265369296073914E-001	-1.7317162928520702E-005	-1.6792409121990204E-002	-1.7317162928520702E-005
78	1	1	4	2	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.2263736687600613E-002	-1.2294510379433632E-002	-8.2181729376316071E-003	3.0809492734817923E-009	4.0763374418020248E-003	3.0809492734817923E-009
78	1	1	5	1	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.4388934373855591E+000	-1.4211397171020508E+000	-1.5539404153823853E+000	-1.0627660958562046E-004	-1.3280069828033447E-001	-1.0627660958562046E-004
78	1	1	5	1	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.0128665715456009E-001	-1.0116896778345108E-001	-1.0448266565799713E-001	-1.8230709031286096E-007	-3.3136978745460510E-003	-1.8230709031286096E-007
78	1	1	5	2	1	135	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.9090984344482422E+001	-3.5793724060058594E+001	-2.0397523880004883E+001	-1.5938490629196167E+000	1.5396200180053711E+001	-1.5938490629196167E+000
78	1	1	5	2	2	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.4096924066543579E+000	-1.4257037639617920E+000	-1.3684612512588501E+000	3.2550352625548840E-003	5.7242512702941895E-002	3.2550352625548840E-003
78	1	1	5	2	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.9601602852344513E-001	-1.9616204500198364E-001	-2.1440561115741730E-001	-3.0271372452261858E-005	-1.8243566155433655E-002	-3.0271372452261858E-005
78	1	1	5	2	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-3.2251093536615372E-002	-3.2252699136734009E-002	-3.2038234174251556E-002	1.2010962890940391E-008	2.1446496248245239E-004	1.2010962890940391E-008
78	1	1	6	1	2	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.9533958435058594E+000	-3.6839561462402344E+000	-1.7603806257247925E+000	8.9868679642677307E-003	1.9235755205154419E+000	8.9868679642677307E-003
78	1	1	6	1	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.6688008606433868E-001	-1.6202378273010254E-001	-1.8144939839839935E-001	-1.2367167073534802E-005	-1.9425615668296814E-002	-1.2367167073534802E-005
78	1	1	6	1	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	-1.6356334090232849E-002	-1.6309779137372971E-002	-2.8917606920003891E-002	-5.0464464607102855E-008	-1.2607827782630920E-002	-5.0464464607102855E-008
78	1	1	6	2	2	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	2.1228995323181152E+000	2.5919852256774902E+000	1.9864664077758789E+000	-4.7250282950699329E-003	-6.0551881790161133E-001	-4.7250282950699329E-003
78	1	1	6	2	3	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	9.1585285961627960E-002	9.4755135476589203E-002	1.0167066007852554E-001	1.4354594895849004E-005	6.9155246019363403E-003	1.4354594895849004E-005
78	1	1	6	2	4	134	1.7052999877929688E+002	1.0955938720703125E+003	1.7052998352050781E+002	1.2518101371824741E-002	1.2548875063657761E-002	1.2435481883585453E-002	-4.6619952343007753E-009	-1.1339318007230759E-004	-4.6619952343007753E-009
79	1	1	1	1	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-2.0586726665496826E+000	-2.1129441261291504E+000	-2.2400827407836914E+000	-9.7473035566508770E-005	-1.2713861465454102E-001	-9.7473035566508770E-005
79	1	1	1	1	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-1.5499763190746307E-001	-1.5536117553710938E-001	-1.4855186641216278E-001	-2.4741263260352753E-008	6.8093091249465942E-003	-2.4741263260352753E-008
79	1	1	1	2	1	135	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-2.6293903350830078E+001	-1.4206071472167969E+002	-2.4426673889160156E+001	1.1495603322982788E+000	1.1763404083251953E+002	1.1495603322982788E+000
79	1	1	1	2	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-2.9844161868095398E-001	-2.9799363017082214E-001	-3.2442751526832581E-001	2.0881116142845713E-005	-2.6433885097503662E-002	2.0881116142845713E-005
79	1	1	1	2	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-4.9368470907211304E-002	-4.9363493919372559E-002	-5.0266325473785400E-002	-1.6576684913616191E-007	-9.0283155441284180E-004	-1.6576684913616191E-007
79	1	1	2	1	2	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-4.8749456405639648E+000	-6.7506594657897949E+000	-4.9578452110290527E+000	2.0371628925204277E-002	1.7928142547607422E+000	2.0371628925204277E-002
79	1	1	2	1	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-2.2218528389930725E-001	-2.3706755042076111E-001	-1.9153359532356262E-001	-8.3342711150180548E-006	4.5533955097198486E-002	-8.3342711150180548E-006
79	1	1	2	1	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	-2.5011014193296432E-002	-2.5155194103717804E-002	-2.0832430571317673E-002	-3.4696554518376388E-009	4.3227635324001312E-003	-3.4696554518376388E-009
79	1	1	2	2	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.1590644717216492E-001	1.0619602352380753E-001	1.4902791380882263E-001	-9.5918758233892731E-006	4.2831890285015106E-002	-9.5918758233892731E-006
79	1	1	2	2	4	124	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	2.0210064947605133E-002	2.0114794373512268E-002	5.8683110401034355E-003	1.9353004532263185E-008	-1.4246483333408833E-002	1.9353004532263185E-008
79	1	1	3	1	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.0474096536636353E+000	1.0293192863464355E+000	7.8358495235443115E-001	5.6607295846333727E-005	-2.4573433399200439E-001	5.6607295846333727E-005
79	1	1	3	1	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.1002421379089355E-001	1.0990303754806519E-001	1.1734697967767715E-001	2.2057284354559670E-007	7.4439421296119690E-003	2.2057284354559670E-007
79	1	1	3	2	1	135	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.5035989761352539E+001	9.0714101791381836E+000	1.5764038085937500E+001	1.2439186573028564E+000	6.6926279067993164E+000	1.2439186573028564E+000
79	1	1	3	2	2	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.4420388936996460E+000	1.4582421779632568E+000	1.3994816541671753E+000	-3.4286247100681067E-003	-5.8760523796081543E-002	-3.4286247100681067E-003
79	1	1	3	2	3	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	1.9799718260765076E-001	1.9814650714397430E-001	2.1525467932224274E-001	3.1926578230923042E-005	1.7108172178268433E-002	3.1926578230923042E-005
79	1	1	3	2	4	134	1.7096000671386719E+002	1.0959620361328125E+003	1.7095997619628906E+002	3.2920561730861664E-002	3.2922219485044479E-002	3.2703284174203873E-002	-1.3156203237940645E-008	-2.1893531084060669E-004	-1.3156203237940645E-008
