call_id	energy_index	reaction	family	branch	legacy_l	selector	request_energy	spw	sopw	opec_original	storage_real	storage_imag	return_real	return_imag
5	1	1	2	1	4	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-6.4358493546023965E-004	-2.5538081536069512E-004	-5.7641591152957083E-012	3.8820412009954453E-004	-5.7641591152957083E-012
5	1	1	2	2	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0095201432704926E-002	1.3504578731954098E-002	-7.1325771955343953E-008	3.4093772992491722E-003	-7.1325771955343953E-008
5	1	1	2	2	4	124	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.0840759649872780E-004	0.0000000000000000E+000	0.0000000000000000E+000	-5.0840759649872780E-004	0.0000000000000000E+000
5	1	1	3	1	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0039354860782623E-001	7.0221967995166779E-002	5.1739340278800228E-007	-3.0171580612659454E-002	5.1739340278800228E-007
5	1	1	3	1	4	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	3.1144947279244661E-003	3.8822584319859743E-003	9.2053337175102001E-010	7.6776370406150818E-004	9.2053337175102001E-010
5	1	1	3	2	1	135	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0570323944091797E+001	1.8155464172363281E+001	-3.2893363386392593E-002	7.5851402282714844E+000	-3.2893363386392593E-002
5	1	1	3	2	2	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	4.8539081215858459E-001	4.4672334194183350E-001	8.8030472397804260E-005	-3.8667470216751099E-002	8.8030472397804260E-005
5	1	1	3	2	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.9466055557131767E-002	2.1138742566108704E-002	2.5617018195589480E-007	1.6726870089769363E-003	2.5617018195589480E-007
5	1	1	3	2	4	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	9.4793998869135976E-004	9.4161642482504249E-004	-4.9385221606579321E-011	-6.3235638663172722E-006	-4.9385221606579321E-011
5	1	1	4	1	2	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0195708274841309E+000	2.1104931831359863E-001	1.1729166726581752E-004	-8.0852150917053223E-001	1.1729166726581752E-004
5	1	1	4	1	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.4668014831840992E-002	1.3551589101552963E-002	9.5460457316676184E-008	-1.1164257302880287E-003	9.5460457316676184E-008
5	1	1	4	1	4	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	4.2629012023098767E-004	4.3061657925136387E-004	1.0799284383411489E-010	4.3264590203762054E-006	1.0799284383411489E-010
5	1	1	4	2	2	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-5.6851273775100708E-001	-4.2495808005332947E-001	-8.3717590314336121E-005	1.4355465769767761E-001	-8.3717590314336121E-005
5	1	1	4	2	3	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-9.4925602898001671E-003	-1.0945084504783154E-002	-1.3264167364468449E-007	-1.4525242149829865E-003	-1.3264167364468449E-007
5	1	1	4	2	4	134	1.4680000305175781E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.2159942202270031E-004	2.7135149139212444E-005	-1.4229628760020763E-012	3.4873458207584918E-004	-1.4229628760020763E-012
6	1	1	1	1	3	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.1467339992523193E-001	-2.2772045433521271E-001	-7.7759574423907907E-007	-1.3047054409980774E-002	-7.7759574423907907E-007
6	1	1	1	1	4	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-4.9364822916686535E-003	-4.3143387883901596E-003	-9.2337311408119405E-011	6.2214350327849388E-004	-9.2337311408119405E-011
6	1	1	1	2	1	135	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.4614593505859375E+002	-2.7753368377685547E+001	-2.9701933264732361E-002	1.1839256286621094E+002	-2.9701933264732361E-002
6	1	1	1	2	3	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-3.1366828829050064E-002	-3.3549007028341293E-002	1.6799560853542062E-007	-2.1821781992912292E-003	1.6799560853542062E-007
6	1	1	1	2	4	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-1.5779883833602071E-003	-1.5124847413972020E-003	-6.1988209010266360E-010	6.5503641963005066E-005	-6.1988209010266360E-010
6	1	1	2	1	2	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.0534737110137939E+000	-1.4253351688385010E+000	-4.5160044101066887E-004	6.2813854217529297E-001	-4.5160044101066887E-004
6	1	1	2	1	3	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-2.2532975301146507E-002	-1.8454005941748619E-002	-6.3081124324071425E-008	4.0789693593978882E-003	-6.3081124324071425E-008
6	1	1	2	1	4	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	-7.1503873914480209E-004	-2.9870739672333002E-004	-6.4402042726507958E-012	4.1633134242147207E-004	-6.4402042726507958E-012
6	1	1	2	2	3	134	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	1.0823443531990051E-002	1.4483207836747169E-002	-7.2518837157531379E-008	3.6597643047571182E-003	-7.2518837157531379E-008
6	1	1	2	2	4	124	1.4694999694824219E+002	1.0000000000000000E+000	-1.0000000000000000E+000	5.6489399867132306E-004	0.0000000000000000E+000	0.0000000000000000E+000	-5.6489399867132306E-004	0.0000000000000000E+000
