call_id	energy_index	reaction	family	branch	legacy_l	selector	typed_request_energy	typed_w_cm	typed_reconstructed_energy	typed_born_argument	typed_opec_original	typed_raw_real	typed_raw_imag	typed_return_real	typed_return_imag	forced_request_energy	forced_w_cm	forced_reconstructed_energy	forced_born_reconstructed	forced_opec_reconstructed	forced_opec_original	forced_raw_real	forced_raw_imag	forced_return_real	forced_return_imag	return_evaluated	request_exact	w_exact	reconstructed_energy_exact	typed_roundtrip_exact	forced_roundtrip_exact	born_exact	original_opec_exact	raw_real_exact	raw_imag_exact	return_real_exact	return_imag_exact
1	1	1	6	2	3	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.4303277712315321E-003	1.4619742287322879E-003	1.5814800281077623E-003	3.2535968585989394E-008	1.1950579937547445E-004	3.2535968585989394E-008	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	1.4300491893664002E-003	1.4616894768550992E-003	1.4619742287322879E-003	1.5811719931662083E-003	3.2529634097500093E-008			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
1	1	1	6	2	4	134	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.2651154722552747E-005	2.2681662812829018E-005	2.2501657440443523E-005	-1.8356366773830679E-012	-1.8000537238549441E-007	-1.8356366773830679E-012	1.4510000610351562E+002	1.0735949707031250E+003	1.4509996032714844E+002	2.2644539058092050E-005	2.2675038053421304E-005	2.2681662812829018E-005	2.2495085431728512E-005	-1.8351006478289911E-012			no	yes	yes	yes	no	no	no	yes	no	no	not-evaluated	not-evaluated
2	1	1	1	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.2887942641973495E-002	-5.3855326026678085E-002	-5.7153530418872833E-002	-3.2928838322732190E-007	-3.2982043921947479E-003	-3.2928838322732190E-007	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.2887942641973495E-002	-5.3855326026678085E-002	-5.3855326026678085E-002	-5.7153530418872833E-002	-3.2928838322732190E-007	-3.2982043921947479E-003	-3.2928838322732190E-007	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
2	1	1	1	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-6.1847019242122769E-004	-6.1927695060148835E-004	-4.6354948426596820E-004	-1.5532054808975460E-011	1.5572746633552015E-004	-1.5532054808975460E-011	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-6.1847019242122769E-004	-6.1927695060148835E-004	-6.1927695060148835E-004	-4.6354948426596820E-004	-1.5532054808975460E-011	1.5572746633552015E-004	-1.5532054808975460E-011	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
2	1	1	1	2	1	135	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-3.0090148925781250E+001	-1.4646565246582031E+002	-2.8030536651611328E+001	-1.6411961615085602E-001	1.1843511962890625E+002	-1.6411961615085602E-001	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-3.0090148925781250E+001	-1.4646565246582031E+002	-1.4646565246582031E+002	-2.8030536651611328E+001	-1.6411961615085602E-001	1.1843511962890625E+002	-1.6411961615085602E-001	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
2	1	1	1	2	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-7.8954733908176422E-003	-7.8892288729548454E-003	-8.4277857095003128E-003	7.1273483115419367E-008	-5.3855683654546738E-004	7.1273483115419367E-008	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-7.8954733908176422E-003	-7.8892288729548454E-003	-7.8892288729548454E-003	-8.4277857095003128E-003	7.1273483115419367E-008	-5.3855683654546738E-004	7.1273483115419367E-008	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
2	1	1	1	2	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-1.9805871124844998E-004	-1.9805012561846524E-004	-1.7172898515127599E-004	-1.0897509977736419E-010	2.6321140467189252E-005	-1.0897509977736419E-010	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-1.9805871124844998E-004	-1.9805012561846524E-004	-1.9805012561846524E-004	-1.7172898515127599E-004	-1.0897509977736419E-010	2.6321140467189252E-005	-1.0897509977736419E-010	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
2	1	1	2	1	2	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-7.9589807987213135E-001	-1.0248589515686035E+000	-6.9596320390701294E-001	-2.7880273410119116E-004	3.2889574766159058E-001	-2.7880273410119116E-004	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-7.9589807987213135E-001	-1.0248589515686035E+000	-1.0248589515686035E+000	-6.9596320390701294E-001	-2.7880273410119116E-004	3.2889574766159058E-001	-2.7880273410119116E-004	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
2	1	1	2	1	3	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.3972434252500534E-003	-5.6229094043374062E-003	-4.6113124117255211E-003	-2.6594623392384165E-008	1.0115969926118851E-003	-2.6594623392384165E-008	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-5.3972434252500534E-003	-5.6229094043374062E-003	-5.6229094043374062E-003	-4.6113124117255211E-003	-2.6594623392384165E-008	1.0115969926118851E-003	-2.6594623392384165E-008	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
2	1	1	2	1	4	134	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-8.8675951701588929E-005	-8.8946755568031222E-005	1.5028737834654748E-005	4.7382491810341043E-013	1.0397549340268597E-004	4.7382491810341043E-013	1.4530000305175781E+002	1.0737697753906250E+003	1.4530000305175781E+002	-8.8675951701588929E-005	-8.8946755568031222E-005	-8.8946755568031222E-005	1.5028737834654748E-005	4.7382491810341043E-013	1.0397549340268597E-004	4.7382491810341043E-013	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
