boundary	row	category	field	typed	forced_legacy
final	27	value	a3_imag	5.3397940064314753E-005	5.3399264288600534E-005
final	27	value	a4_real	-2.5726034641265869E+000	-2.5726449489593506E+000
final	27	value	a4_imag	-2.4184779822826385E-001	-2.4184772372245789E-001
final	27	value	dsg	4.5067640021443367E-003	4.5069023035466671E-003
final	28	value	a2_real	-1.4611756801605225E+000	-1.4611653089523315E+000
final	28	value	a4_real	1.1042697727680206E-001	1.1042577773332596E-001
final	28	value	dsg	1.5701967058703303E-003	1.5701762167736888E-003
final	29	value	a2_real	-1.2150126695632935E+000	-1.2150022983551025E+000
final	29	value	a2_imag	2.1560651063919067E-001	2.1560649573802948E-001
final	29	value	a4_real	2.6737862825393677E-001	2.6737600564956665E-001
final	29	value	a4_imag	-5.7829566299915314E-002	-5.7829562574625015E-002
final	29	value	dsg	1.7807114636525512E-003	1.7806934192776680E-003
final	30	value	a2_real	-7.8445523977279663E-001	-7.8444480895996094E-001
final	30	value	a4_real	2.5062948465347290E-001	2.5062799453735352E-001
final	30	value	a4_imag	-9.4462879002094269E-002	-9.4462886452674866E-002
final	30	value	dsg	2.1721548400819302E-003	2.1721431985497475E-003
final	31	value	a2_real	-2.7618691325187683E-001	-2.7617743611335754E-001
final	31	value	a4_real	-4.8928428441286087E-004	-4.9840379506349564E-004
final	31	value	a4_imag	-1.2826769053936005E-001	-1.2826770544052124E-001
final	31	value	dsg	2.6933306362479925E-003	2.6933271437883377E-003
final	32	value	a2_real	1.8682016432285309E-001	1.8682964146137238E-001
final	32	value	a3_real	-1.5748175382614136E+000	-1.5748174190521240E+000
final	32	value	a4_real	-4.7974938154220581E-001	-4.7975897789001465E-001
final	32	value	dsg	3.2787634991109371E-003	3.2787723466753960E-003
final	33	value	a2_real	4.9732550978660583E-001	4.9733451008796692E-001
final	33	value	a2_imag	1.2827776372432709E-001	1.2827777862548828E-001
final	33	value	a4_real	-1.1135716438293457E+000	-1.1135822534561157E+000
final	33	value	a4_imag	-1.8338675796985626E-001	-1.8338677287101746E-001
final	33	value	dsg	3.8541674148291349E-003	3.8541893009096384E-003
final	34	value	a2_real	5.9131610393524170E-001	5.9131699800491333E-001
final	34	value	a2_imag	9.4561643898487091E-002	9.4561651349067688E-002
