call_id	energy_index	angle_index	reaction	energy_mev	angle_cm_deg	a1_real	a1_imag	a2_real	a2_imag	a3_real	a3_imag	a4_real	a4_imag	dsg
71	1	7	1	1.6713999938964844E+002	1.3000000000000000E+002	3.4409110546112061E+000	1.0490059107542038E-001	2.9871764183044434E+000	-1.0563557147979736E+000	-9.3202943801879883E+000	-2.2485375404357910E-001	-7.2971334457397461E+000	2.3393907546997070E+000	4.0547576546669006E-001
71	1	8	1	1.6713999938964844E+002	1.5000000000000000E+002	1.3700475692749023E+000	4.1944675147533417E-002	2.3978939056396484E+000	-6.4150387048721313E-001	-6.5149540901184082E+000	-1.5646395087242126E-001	-1.0619684219360352E+001	2.4729135036468506E+000	4.1000896692276001E-001
71	1	9	1	1.6713999938964844E+002	1.7000000000000000E+002	1.5984104573726654E-001	4.9068075604736805E-003	9.0803653001785278E-001	-2.1506392955780029E-001	-2.3388965129852295E+000	-5.6054420769214630E-002	-1.2511948585510254E+001	2.5392479896545410E+000	4.0992248058319092E-001
72	1	1	1	1.6796000671386719E+002	1.0000000000000000E+001	1.8741009235382080E+000	6.1440072953701019E-002	-9.2164382934570312E+000	-2.7050187587738037E+000	-1.9554515182971954E-001	-5.3726462647318840E-003	1.1128778457641602E+000	2.4463848769664764E-001	2.3847614228725433E-001
72	1	2	1	1.6796000671386719E+002	3.0000000000000000E+001	5.2447919845581055E+000	1.7156118154525757E-001	-7.8232159614562988E+000	-2.6105895042419434E+000	-1.6826941967010498E+000	-4.5946914702653885E-002	2.9384617805480957E+000	7.2318971157073975E-001	2.6409810781478882E-001
72	1	3	1	1.6796000671386719E+002	5.0000000000000000E+001	7.5665650367736816E+000	2.4669645726680756E-001	-5.3401403427124023E+000	-2.4279098510742188E+000	-4.2566719055175781E+000	-1.1497947573661804E-001	3.6452786922454834E+000	1.1707861423492432E+000	3.0577227473258972E-001
72	1	4	1	1.6796000671386719E+002	7.0000000000000000E+001	8.4142875671386719E+000	2.7362558245658875E-001	-2.3375148773193359E+000	-2.1682424545288086E+000	-7.1820263862609863E+000	-1.9149982929229736E-001	2.7701284885406494E+000	1.5705778598785400E+000	3.5066673159599304E-001
72	1	5	1	1.6796000671386719E+002	9.0000000000000000E+001	7.7363762855529785E+000	2.5147175788879395E-001	4.6393358707427979E-001	-1.8460320234298706E+000	-9.5459365844726562E+000	-2.5134724378585815E-001	2.6861163973808289E-001	1.9104737043380737E+000	3.8909572362899780E-001
72	1	6	1	1.6796000671386719E+002	1.1000000000000000E+002	5.8867192268371582E+000	1.9177024066448212E-001	2.3974161148071289E+000	-1.4766956567764282E+000	-1.0505228042602539E+001	-2.7374029159545898E-001	-3.4155251979827881E+000	2.1834666728973389E+000	4.1620293259620667E-001
72	1	7	1	1.6796000671386719E+002	1.3000000000000000E+002	3.5228979587554932E+000	1.1523521691560745E-001	3.0657794475555420E+000	-1.0746552944183350E+000	-9.5498666763305664E+000	-2.4699899554252625E-001	-7.4486207962036133E+000	2.3869330883026123E+000	4.3076941370964050E-001
72	1	8	1	1.6796000671386719E+002	1.5000000000000000E+002	1.4025585651397705E+000	4.6077627688646317E-002	2.4595308303833008E+000	-6.5207040309906006E-001	-6.6755671501159668E+000	-1.7187602818012238E-001	-1.0852546691894531E+001	2.5211789608001709E+000	4.3507245182991028E-001
72	1	9	1	1.6796000671386719E+002	1.7000000000000000E+002	1.6362451016902924E-001	5.3903330117464066E-003	9.3114334344863892E-001	-2.1850767731666565E-001	-2.3965721130371094E+000	-6.1576388776302338E-002	-1.2791170120239258E+001	2.5877091884613037E+000	4.3465146422386169E-001
73	1	1	1	1.6816000366210938E+002	1.8190000534057617E+001	3.3608384132385254E+000	1.1195208132266998E-001	-8.8490409851074219E+000	-2.6919827461242676E+000	-6.4240211248397827E-001	-1.7912792041897774E-002	1.9656585454940796E+000	4.4578620791435242E-001	2.4970462918281555E-001
73	1	2	1	1.6816000366210938E+002	3.1790000915527344E+001	5.5350604057312012E+000	1.8404151499271393E-001	-7.6776623725891113E+000	-2.6114828586578369E+000	-1.8883076906204224E+000	-5.2381902933120728E-002	3.0761394500732422E+000	7.6935613155364990E-001	2.7120295166969299E-001
73	1	3	1	1.6816000366210938E+002	4.1409999847412109E+001	6.7708373069763184E+000	2.2477523982524872E-001	-6.5418162345886230E+000	-2.5296943187713623E+000	-3.0763089656829834E+000	-8.4915213286876678E-002	3.5394771099090576E+000	9.8930823802947998E-001	2.9093304276466370E-001
73	1	4	1	1.6816000366210938E+002	4.9459999084472656E+001	7.5648446083068848E+000	2.5079634785652161E-001	-5.4441738128662109E+000	-2.4464089870452881E+000	-4.2025890350341797E+000	-1.1545457690954208E-001	3.6700887680053711E+000	1.1659976243972778E+000	3.0904665589332581E-001
73	1	5	1	1.6816000366210938E+002	5.6630001068115234E+001	8.0675964355468750E+000	2.6716712117195129E-001	-4.3897457122802734E+000	-2.3615543842315674E+000	-5.2608180046081543E+000	-1.4387258887290955E-001	3.5668444633483887E+000	1.3168133497238159E+000	3.2565414905548096E-001
73	1	6	1	1.6816000366210938E+002	6.3259998321533203E+001	8.3523778915405273E+000	2.7635467052459717E-001	-3.3798568248748779E+000	-2.2747247219085693E+000	-6.2479333877563477E+000	-1.7012859880924225E-001	3.2777769565582275E+000	1.4501851797103882E+000	3.4091031551361084E-001
73	1	7	1	1.6816000366210938E+002	6.9510002136230469E+001	8.4602775573730469E+000	2.7974355220794678E-001	-2.4223527908325195E+000	-2.1860127449035645E+000	-7.1542181968688965E+000	-1.9400374591350555E-001	2.8328721523284912E+000	1.5701459646224976E+000	3.5486498475074768E-001
73	1	8	1	1.6816000366210938E+002	7.5519996643066406E+001	8.4193325042724609E+000	2.7827337384223938E-001	-1.5186066627502441E+000	-2.0948786735534668E+000	-7.9757380485534668E+000	-2.1543176472187042E-001	2.2502303123474121E+000	1.6799163818359375E+000	3.6765328049659729E-001
73	1	9	1	1.6816000366210938E+002	8.1370002746582031E+001	8.2487678527832031E+000	2.7258431911468506E-001	-6.7444878816604614E-001	-2.0010948181152344E+000	-8.7037334442138672E+000	-2.3421768844127655E-001	1.5442786216735840E+000	1.7812763452529907E+000	3.7933707237243652E-001
73	1	10	1	1.6816000366210938E+002	8.7129997253417969E+001	7.9630846977233887E+000	2.6315376162528992E-001	1.0499498248100281E-001	-1.9042516946792603E+000	-9.3294439315795898E+000	-2.5016596913337708E-001	7.2564899921417236E-001	1.8756077289581299E+000	3.8998073339462280E-001
73	1	11	1	1.6816000366210938E+002	9.2870002746582031E+001	7.5728921890258789E+000	2.5032550096511841E-001	8.1504923105239868E-001	-1.8036768436431885E+000	-9.8432874679565430E+000	-2.6305726170539856E-001	-1.9878433644771576E-001	1.9640735387802124E+000	3.9964705705642700E-001
73	1	12	1	1.6816000366210938E+002	9.8629997253417969E+001	7.0885572433471680E+000	2.3443055152893066E-001	1.4468017816543579E+000	-1.6990400552749634E+000	-1.0231240272521973E+001	-2.7255794405937195E-001	-1.2190076112747192E+000	2.0471851825714111E+000	4.0833699703216553E-001
73	1	13	1	1.6816000366210938E+002	1.0448000335693359E+002	6.5171046257019043E+000	2.1568582952022552E-001	1.9936269521713257E+000	-1.5893325805664062E+000	-1.0478938102722168E+001	-2.7832168340682983E-001	-2.3304936885833740E+000	2.1257119178771973E+000	4.1608193516731262E-001
73	1	14	1	1.6816000366210938E+002	1.1048999786376953E+002	5.8649559020996094E+000	1.9428521394729614E-001	2.4458622932434082E+000	-1.4734007120132446E+000	-1.0566864013671875E+001	-2.7986779808998108E-001	-3.5280487537384033E+000	2.2001600265502930E+000	4.2287853360176086E-001
73	1	15	1	1.6816000366210938E+002	1.1673999786376953E+002	5.1386022567749023E+000	1.7042161524295807E-001	2.7907252311706543E+000	-1.3497748374938965E+000	-1.0469245910644531E+001	-2.7655214071273804E-001	-4.8054962158203125E+000	2.2708580493927002E+000	4.2869910597801208E-001
73	1	16	1	1.6816000366210938E+002	1.2337000274658203E+002	4.3407158851623535E+000	1.4415970444679260E-001	3.0121946334838867E+000	-1.2156575918197632E+000	-1.0148947715759277E+001	-2.6743060350418091E-001	-6.1625342369079590E+000	2.3383612632751465E+000	4.3351814150810242E-001
73	1	17	1	1.6816000366210938E+002	1.3053999328613281E+002	3.4786810874938965E+000	1.1571664363145828E-001	3.0844206809997559E+000	-1.0676758289337158E+000	-9.5515270233154297E+000	-2.5111192464828491E-001	-7.5902910232543945E+000	2.4027080535888672E+000	4.3725696206092834E-001
73	1	18	1	1.6816000366210938E+002	1.3858999633789062E+002	2.5545415878295898E+000	8.5131533443927765E-002	2.9663507938385010E+000	-8.9851427078247070E-001	-8.5810689926147461E+000	-2.2511957585811615E-001	-9.0885047912597656E+000	2.4643096923828125E+000	4.3984481692314148E-001
73	1	19	1	1.6816000366210938E+002	1.4821000671386719E+002	1.5730346441268921E+000	5.2530158311128616E-002	2.5743370056152344E+000	-6.9306427240371704E-001	-7.0417194366455078E+000	-1.8437437713146210E-001	-1.0652111053466797E+001	2.5233104228973389E+000	4.4117659330368042E-001
73	1	20	1	1.6816000366210938E+002	1.6180999755859375E+002	5.3686702251434326E-001	1.7969155684113503E-002	1.6441922187805176E+000	-3.9831772446632385E-001	-4.2924103736877441E+000	-1.1218743771314621E-001	-1.2279004096984863E+001	2.5799415111541748E+000	4.4112452864646912E-001
74	1	1	1	1.6849000549316406E+002	1.0000000000000000E+001	1.9022374153137207E+000	6.5148361027240753E-002	-9.3416452407836914E+000	-2.7436575889587402E+000	-1.9848211109638214E-001	-5.6968126446008682E-003	1.1314020156860352E+000	2.4856783449649811E-001	2.4729749560356140E-001
74	1	2	1	1.6849000549316406E+002	3.0000000000000000E+001	5.3236465454101562E+000	1.8191669881343842E-001	-7.9290375709533691E+000	-2.6471688747406006E+000	-1.7080500125885010E+000	-4.8719406127929688E-002	2.9883046150207520E+000	7.3461985588073730E-001	2.7416586875915527E-001
74	1	3	1	1.6849000549316406E+002	5.0000000000000000E+001	7.6805500984191895E+000	2.6158946752548218E-001	-5.4107122421264648E+000	-2.4606726169586182E+000	-4.3211646080017090E+000	-1.2191851437091827E-001	3.7099442481994629E+000	1.1887195110321045E+000	3.1781098246574402E-001
74	1	4	1	1.6849000549316406E+002	7.0000000000000000E+001	8.5411901473999023E+000	2.9014763236045837E-001	-2.3645083904266357E+000	-2.1959617137908936E+000	-7.2914986610412598E+000	-2.0305924117565155E-001	2.8253307342529297E+000	1.5935851335525513E+000	3.6470523476600647E-001
74	1	5	1	1.6849000549316406E+002	9.0000000000000000E+001	7.8529739379882812E+000	2.6665964722633362E-001	4.7811236977577209E-001	-1.8681076765060425E+000	-9.6921958923339844E+000	-2.6652279496192932E-001	2.8832697868347168E-001	1.9369757175445557E+000	4.0466257929801941E-001
