call_id	energy_index	family	branch	legacy_l	form_selector	energy_mev	multipole_real	multipole_imag
37	1	3	2	1	135	1.5638000488281250E+002	7.2184963226318359E+000	7.5298237800598145E-001
37	1	3	2	2	134	1.5638000488281250E+002	-6.2795162200927734E-002	-4.4562012772075832E-004
37	1	3	2	3	134	1.5638000488281250E+002	8.6707547307014465E-003	8.7308609408864868E-007
37	1	3	2	4	134	1.5638000488281250E+002	-7.6047144830226898E-005	-4.6619121757407456E-011
37	1	3	2	5	25	1.5638000488281250E+002	-2.7939677238464355E-009	2.4246398075064568E-013
37	1	3	2	6	25	1.5638000488281250E+002	-2.9103830456733704E-011	1.2141312032428017E-016
37	1	4	1	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	4	1	2	134	1.5638000488281250E+002	-1.8580268621444702E+000	-5.3449242841452360E-004
37	1	4	1	3	134	1.5638000488281250E+002	-5.6836009025573730E-003	2.0967337377442163E-007
37	1	4	1	4	134	1.5638000488281250E+002	2.0814454182982445E-004	8.2412021651379064E-011
37	1	4	1	5	25	1.5638000488281250E+002	-1.5512341633439064E-008	5.6049738824835368E-014
37	1	4	1	6	25	1.5638000488281250E+002	6.2209437601268291E-010	6.0870229426862279E-017
37	1	4	2	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	4	2	2	134	1.5638000488281250E+002	3.1328094005584717E-001	4.4419741607271135E-004
37	1	4	2	3	134	1.5638000488281250E+002	-7.9815834760665894E-003	-4.7360467192447686E-007
37	1	4	2	4	134	1.5638000488281250E+002	1.9296433310955763E-003	8.8317192101228237E-012
37	1	4	2	5	25	1.5638000488281250E+002	-3.4051481634378433E-009	-6.4351383379998572E-014
37	1	4	2	6	25	1.5638000488281250E+002	-6.6211214289069176E-010	-2.5846187990227859E-017
37	1	5	1	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	5	1	2	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	5	1	3	134	1.5638000488281250E+002	-4.1104555130004883E-002	-2.1378989458753495E-006
37	1	5	1	4	134	1.5638000488281250E+002	-1.0380893945693970E-003	-5.4716420283540401E-010
37	1	5	1	5	3	1.5638000488281250E+002	-1.8230639398097992E-007	-4.1855589632232293E-013
37	1	5	1	6	3	1.5638000488281250E+002	-1.2805685400962830E-009	-5.0053659718583246E-016
37	1	5	2	1	135	1.5638000488281250E+002	1.4627614974975586E+001	-9.8297035694122314E-001
37	1	5	2	2	134	1.5638000488281250E+002	6.2107563018798828E-002	4.3827467015944421E-004
37	1	5	2	3	134	1.5638000488281250E+002	-9.3607231974601746E-003	-8.8053434410539921E-007
37	1	5	2	4	134	1.5638000488281250E+002	7.6020136475563049E-005	4.6602437187015511E-011
37	1	5	2	5	3	1.5638000488281250E+002	2.7939677238464355E-009	-2.4247688275649826E-013
37	1	5	2	6	3	1.5638000488281250E+002	2.9103830456733704E-011	-1.2141216741221451E-016
37	1	6	1	1	0	1.5638000488281250E+002	0.0000000000000000E+000	0.0000000000000000E+000
37	1	6	1	2	134	1.5638000488281250E+002	1.3882513046264648E+000	1.2407057220116258E-003
37	1	6	1	3	134	1.5638000488281250E+002	-4.8709362745285034E-003	-2.1265296368255804E-007
37	1	6	1	4	134	1.5638000488281250E+002	-5.5236853659152985E-003	-1.6089883592140808E-010
37	1	6	1	5	25	1.5638000488281250E+002	-7.7416189014911652E-008	-5.6044182288701380E-014
