boundary	row	category	field	typed	forced_legacy
go5	1141	value	predicted_obs	0.56945E+00	0.56946E+00
go5	1142	value	predicted_obs	0.67878E+00	0.67879E+00
go5	1150	value	predicted_obs	0.58375E+00	0.58376E+00
go5	1174	value	predicted_obs	0.97907E+00	0.97906E+00
go5	1175	value	predicted_obs	0.97548E+00	0.97547E+00
go5	1177	value	predicted_obs	0.95628E+00	0.95627E+00
go5	1187	value	predicted_obs	0.54928E+00	0.54927E+00
go5	1245	value	dchi	-0.112E+00	-0.111E+00
go5	1255	value	predicted_obs	0.88168E+00	0.88167E+00
go5	1272	value	predicted_obs	0.64619E+00	0.64618E+00
go5	1281	value	predicted_obs	0.66646E+00	0.66647E+00
go5	1282	value	predicted_obs	0.76895E+00	0.76896E+00
go5	1282	value	dchi	-0.405E+00	-0.404E+00
go5	1303	value	dchi	-0.242E+00	-0.243E+00
go5	1315	value	dchi	0.370E+00	0.371E+00
go5	1318	value	predicted_obs	0.12734E+01	0.12735E+01
go5	1325	value	dchi	0.745E+00	0.746E+00
go5	1328	value	predicted_obs	0.72983E+00	0.72984E+00
go5	1346	value	predicted_obs	0.80529E+00	0.80530E+00
go5	1348	value	predicted_obs	0.99833E+00	0.99834E+00
go5	1475	value	predicted_obs	0.16731E+01	0.16732E+01
go5	1478	value	dchi	0.272E+00	0.271E+00
go5	1485	value	predicted_obs	0.16394E+01	0.16395E+01
go5	1496	value	dchi	0.897E-02	0.903E-02
go5	1505	value	predicted_obs	0.11891E+01	0.11892E+01
go5	1522	value	predicted_obs	0.18103E+01	0.18102E+01
